ARE	1990	0	67606.9169233671	1860174	4.454	70.603	73.061
NGA	1995	..	1242.73804698383	108011465	6.262	44.744	47.014
USA	2000	43.0791626375201	45055.817918284	282162411	2.056	74.1	79.3
CHN	2005	8.52325700269541	2738.2054599526	1303720000	1.565	72.54	75.569
PHL	2010	25	2129.49924654605	93726624	3.158	65.089	71.791
MEX	2015	57.4310429923633	9717.89842992014	125890949	2.215	74.516	79.365
TTO	2016	73.296941218486	15765.9643231891	1364962	1.752	67.264	74.319
GBR	2001	33.4810948744147	36341.7097504855	59119673	1.63	75.7	80.4
