countryCode	year	sex	laborForcePartipation	pctAdvancedEdu	pctBasicEdu	lifeExpect	literacyRate
AND	2000	Female	..	..	..	..	..
AND	2001	Female	..	..	..	..	..
AND	2002	Female	..	..	..	..	..
AND	2003	Female	..	..	..	..	..
AND	2004	Female	..	..	..	..	..
AND	2005	Female	..	..	..	..	..
AND	2006	Female	..	..	..	..	..
AND	2007	Female	..	..	..	..	..
AND	2008	Female	..	..	..	..	..
AND	2009	Female	..	..	..	..	..
AND	2010	Female	..	..	..	..	..
AND	2011	Female	..	..	..	..	..
AND	2012	Female	..	..	..	..	..
AND	2013	Female	..	..	..	..	..
AND	2014	Female	..	..	..	..	..
AND	2015	Female	..	..	..	..	100
AND	2016	Female	..	..	..	..	100
AGO	1990	Female	75.1510009765625	..	..	43.854	..
AGO	1991	Female	75.1060028076172	..	..	44.056	..
AGO	1992	Female	74.9940032958984	..	..	44.296	..
AGO	1993	Female	74.7620010375977	..	..	44.588	..
AGO	1994	Female	74.6910018920898	..	..	44.948	..
AGO	1995	Female	74.6640014648438	..	..	45.403	..
AGO	1996	Female	74.6999969482422	..	..	45.978	..
AGO	1997	Female	74.7239990234375	..	..	46.68	..
AGO	1998	Female	74.7419967651367	..	..	47.508	..
AGO	1999	Female	74.7399978637695	..	..	48.453	..
AGO	2000	Female	74.7320022583008	..	..	49.502	..
AGO	2001	Female	74.7600021362305	..	..	50.635	54.1944885253906
AGO	2002	Female	74.7220001220703	..	..	51.819	..
AGO	2003	Female	74.7350006103516	..	..	53.023	..
AGO	2004	Female	74.7760009765625	90.6949005126953	78.2304992675781	54.222	..
AGO	2005	Female	74.8539962768555	..	..	55.404	..
AGO	2006	Female	74.9860000610352	..	..	56.568	..
AGO	2007	Female	75.1149978637695	..	..	57.714	..
AGO	2008	Female	75.2050018310547	..	..	58.836	..
AGO	2009	Female	75.245002746582	..	..	59.911	..
AGO	2010	Female	75.2829971313477	..	..	60.908	..
AGO	2011	Female	75.3430023193359	89.7556991577148	74.2110977172852	61.795	..
AGO	2012	Female	75.3929977416992	..	..	62.556	..
AGO	2013	Female	75.431999206543	..	..	63.188	..
AGO	2014	Female	75.4359970092773	..	..	63.695	53.4072113037109
AGO	2015	Female	75.4020004272461	..	..	64.094	..
AGO	2016	Female	75.3339996337891	..	..	64.411	..
ATG	1990	Female	..	..	..	73.79	..
ATG	1991	Female	..	..	..	74.022	..
ATG	1992	Female	..	..	..	74.251	..
ATG	1993	Female	..	..	..	74.476	..
ATG	1994	Female	..	..	..	74.697	..
ATG	1995	Female	..	..	..	74.914	..
ATG	1996	Female	..	..	..	75.128	..
ATG	1997	Female	..	..	..	75.338	..
ATG	1998	Female	..	..	..	75.545	..
ATG	1999	Female	..	..	..	75.747	..
ATG	2000	Female	..	..	..	75.947	..
ATG	2001	Female	..	..	..	76.144	99.4199981689453
ATG	2002	Female	..	..	..	76.338	..
ATG	2003	Female	..	..	..	76.53	..
ATG	2004	Female	..	..	..	76.719	..
ATG	2005	Female	..	..	..	76.906	..
ATG	2006	Female	..	..	..	77.091	..
ATG	2007	Female	..	..	..	77.273	..
ATG	2008	Female	..	..	..	77.452	..
ATG	2009	Female	..	..	..	77.628	..
ATG	2010	Female	..	..	..	77.8	..
ATG	2011	Female	..	..	..	77.967	..
ATG	2012	Female	..	..	..	78.129	..
ATG	2013	Female	..	..	..	78.287	..
ATG	2014	Female	..	..	..	78.44	..
ATG	2015	Female	..	..	..	78.59	..
ATG	2016	Female	..	..	..	78.738	..
ARB	1990	Female	19.2486125084855	..	..	66.1942981600087	40.99125
ARB	1991	Female	19.338942599754	..	..	66.5676007501664	42.16432
ARB	1992	Female	19.2876060471869	..	..	66.8869183009973	43.30986
ARB	1993	Female	19.4472904550296	..	..	67.2608778054121	43.58525
ARB	1994	Female	19.7883383338027	..	..	67.6362468212744	44.71131
ARB	1995	Female	19.7728163984927	..	..	68.0401692560178	45.78087
ARB	1996	Female	19.6118494927278	..	..	68.3981284002793	47.67156
ARB	1997	Female	19.3662503442658	..	..	68.7336548334909	48.52052
ARB	1998	Female	19.1787146503941	..	..	69.040045801958	49.938
ARB	1999	Female	19.6557388039693	..	..	69.3174139676439	51.27002
ARB	2000	Female	19.734920353723	..	..	69.5707720550624	52.76005
ARB	2001	Female	19.7123768920185	..	..	69.8094122293446	53.85793
ARB	2002	Female	19.3069439884313	..	..	70.0442617232567	55.26776
ARB	2003	Female	19.5863348536628	..	..	70.2841047657574	57.63776
ARB	2004	Female	19.7629910543055	..	..	70.5328955397282	58.95416
ARB	2005	Female	19.9222295751989	..	..	70.7877912332424	52.39496
